Column,Data_Type,Non_Null_Count,Null_Count
patient_id,str,577360,0
age,float64,577360,0
sex,str,577360,0
bmi,float64,577360,0
physical_activity,int64,577360,0
diet_quality,float64,577360,0
smoking_status,str,577360,0
alcohol_consumption,float64,577360,0
medical_history_diabetes,float64,577360,0
medical_history_hypertension,float64,577360,0
medical_history_heart_disease,float64,577360,0
target_disease,int64,577360,0
data_source,str,577360,0
collection_date,datetime64[us],577360,0
blood_pressure_systolic,float64,577360,0
blood_pressure_diastolic,float64,577360,0
cholesterol,float64,577360,0
glucose,float64,577360,0
bmi_category,category,577360,0
bp_status,str,577360,0
pulse_pressure,float64,577360,0
age_group,category,577360,0
comorbidity_count,float64,577360,0
