feature,mean_abs_gradient
bmi,0.00031737282
alcohol_consumption,0.0002680357
blood_pressure_diastolic,0.00014400418
pulse_pressure,0.00014274672
comorbidity_count,0.00013305742
diet_quality,0.00011520967
glucose,8.383734e-05
bmi_category_Underweight,5.9803016e-05
bmi_category_Unknown,4.6071178e-05
age_group_18-30,4.179392e-05
smoking_status_Current,2.7955173e-05
bmi_category_Overweight,2.7848777e-05
sex_Male,2.7512078e-05
sex_Female,2.6150577e-05
medical_history_diabetes,2.552707e-05
smoking_status_Never,2.5050836e-05
blood_pressure_systolic,2.2842045e-05
bmi_category_Obese,2.2584796e-05
medical_history_hypertension,2.2569066e-05
bp_status_Elevated,2.0113e-05
bp_status_Stage2_HTN,1.911917e-05
bp_status_Stage1_HTN,1.7858498e-05
bp_status_Normal,1.7485465e-05
age,1.2166774e-05
age_group_75+,9.312322e-06
age_group_31-45,8.3653185e-06
medical_history_heart_disease,7.95826e-06
bmi_category_Normal,7.2454877e-06
age_group_61-75,2.9108226e-06
physical_activity,2.0321395e-06
age_group_46-60,1.8247247e-06
cholesterol,6.7468864e-07
