feature,local_importance
bmi_category_Underweight,1.5994399e-11
bmi_category_Unknown,1.1486821e-11
bp_status_Stage2_HTN,1.1110755e-11
age_group_18-30,1.065521e-11
glucose,1.05398424e-11
medical_history_hypertension,1.0348475e-11
alcohol_consumption,1.0234467e-11
bmi,9.642799e-12
bp_status_Stage1_HTN,9.095789e-12
pulse_pressure,8.604757e-12
bp_status_Elevated,7.527068e-12
bp_status_Normal,6.721573e-12
smoking_status_Never,6.542425e-12
age_group_31-45,6.4820905e-12
sex_Male,6.105639e-12
age,5.7749933e-12
smoking_status_Current,5.7088206e-12
diet_quality,5.3029868e-12
age_group_46-60,5.1799186e-12
cholesterol,4.840851e-12
comorbidity_count,4.764588e-12
blood_pressure_systolic,4.4546172e-12
blood_pressure_diastolic,4.149426e-12
age_group_61-75,3.8567357e-12
medical_history_heart_disease,3.7219043e-12
sex_Female,3.265409e-12
medical_history_diabetes,2.7810703e-12
bmi_category_Normal,2.6769444e-12
bmi_category_Overweight,1.4277411e-12
bmi_category_Obese,1.3291906e-12
physical_activity,5.150675e-13
age_group_75+,4.670982e-13
