timestep,baseline_auc,permuted_auc,auc_drop
12,0.9999936164729274,0.9872294701470364,0.012764146325890957
11,0.9999936164729274,0.9900441873587614,0.009949429114165964
10,0.9999936164729274,0.9923431904959589,0.007650425976968522
9,0.9999936164729274,0.9959765842077482,0.004017032265179243
8,0.9999936164729274,0.9986596680164885,0.0013339484564388604
1,0.9999936164729274,0.9997580803610289,0.00023553611189852663
7,0.9999936164729274,0.9998833145843108,0.00011030188861660406
2,0.9999936164729274,0.9998851437451913,0.0001084727277360642
3,0.9999936164729274,0.9999530717668204,4.054470610703742e-05
4,0.9999936164729274,0.9999798690698339,1.3747403093455901e-05
6,0.9999936164729274,0.9999852991594982,8.31731342920694e-06
5,0.9999936164729274,0.9999862482031858,7.3682697415700105e-06
