feature,importance,std
medical_history_diabetes,0.2464098865430701,0.007363756777964449
medical_history_heart_disease,0.0373804100833661,0.0006354445980967565
comorbidity_count,0.026328060191190227,0.0018969998891175933
blood_pressure_systolic,0.011699294658501835,0.0003685432110502346
bmi,0.0020193270722343335,0.000502766883077742
bp_status_Stage2_HTN,0.0018584996354637396,0.00012923239530958627
medical_history_hypertension,0.001435448412132012,0.0001346508391198542
age,0.0011484592099123337,0.0002490084002244952
diet_quality,0.001001610343077841,0.00017921337587328728
blood_pressure_diastolic,0.0007835682944755673,2.7935857358931933e-05
smoking_status_Current,0.0006862798119601887,4.397488680588168e-05
smoking_status_Never,0.0006300700021957706,4.364779300193052e-05
bmi_category_Underweight,0.00034801615130668483,5.5243517584174724e-05
cholesterol,0.00023946797503715533,7.437825420396362e-05
bmi_category_Unknown,0.00012128552012249382,2.8606847962705305e-05
physical_activity,9.48355833511938e-05,6.371022704812737e-05
age_group_18-30,8.047282438927716e-05,0.00010571322377247254
pulse_pressure,6.214996316220578e-05,2.037541789248363e-05
glucose,3.99261056739153e-05,1.1787684503030753e-05
age_group_31-45,3.977834066395403e-05,2.6298751360194112e-05
bp_status_Stage1_HTN,3.753231251357736e-05,6.569559886186831e-05
alcohol_consumption,3.5256731361155146e-05,4.395909457105844e-05
bp_status_Normal,2.5238263690208206e-05,9.545390898113001e-06
age_group_61-75,3.428148229578376e-06,1.3330140264085934e-05
age_group_75+,0.0,0.0
bmi_category_Obese,0.0,0.0
bmi_category_Overweight,0.0,0.0
bmi_category_Normal,0.0,0.0
age_group_46-60,-2.2755811524222126e-06,1.9794908695664996e-05
sex_Male,-5.82194138987191e-06,1.4425255895274305e-05
bp_status_Elevated,-1.5101584011345536e-05,2.1319167748011817e-06
sex_Female,-4.134464976885965e-05,1.7291006615626583e-05
